engine_id,cycle,RUL,sequence_idx
73,184,29,12617
54,246,11,9209
11,167,73,1983
26,146,53,4501
45,55,103,7386
18,41,154,3099
82,103,111,14102
47,200,14,7887
77,125,29,13260
52,203,10,8816
79,35,164,13497
73,151,62,12584
75,209,20,12963
64,91,192,10715
16,167,42,2798
74,123,43,12740
36,141,17,6084
79,108,91,13570
47,134,80,7821
23,53,115,3950
53,159,36,8956
74,147,19,12764
29,89,74,4877
30,93,101,5015
54,200,57,9163
44,188,4,7356
55,62,131,9253
97,64,138,17138
55,60,133,9251
66,103,99,11105
64,166,117,10790
31,41,193,5128
65,148,5,11026
79,72,127,13534
23,45,123,3942
51,177,36,8606
75,143,86,12897
48,81,150,7953
49,180,35,8254
43,110,97,7100
72,47,166,12296
50,134,64,8394
31,108,126,5195
10,75,147,1698
64,172,111,10796
51,165,48,8594
83,81,212,14265
38,132,62,6345
94,88,170,16372
79,196,3,13658
64,155,128,10779
49,42,173,8116
52,79,134,8692
33,107,93,5561
53,69,126,8866
18,111,84,3169
32,57,134,5349
69,306,56,11935
24,91,56,4127
35,73,108,5864
28,66,99,4718
15,155,52,2608
93,65,90,16223
84,69,198,14517
93,140,15,16298
56,165,110,9520
90,82,72,15697
96,171,165,16938
13,59,104,2227
81,84,156,13872
99,154,31,17528
72,30,183,12279
5,174,95,875
85,61,127,14747
99,125,60,17499
55,161,32,9352
73,157,56,12590
54,169,88,9132
23,87,81,3984
13,155,8,2323
2,140,147,273
30,100,94,5022
17,210,66,3021
86,52,226,14897
85,45,143,14731
80,154,31,13786
36,126,32,6069
6,106,82,1047
96,307,29,17074
25,132,98,4286
47,196,18,7883
39,50,78,6428
36,124,34,6067
2,124,163,257
66,147,55,11149
84,252,15,14700
90,153,1,15768
5,93,176,794
62,56,124,10384
92,52,289,15898
88,202,11,15445
16,171,38,2802
51,213,0,8642
26,154,45,4509
88,84,129,15327
63,150,24,10629
27,36,120,4561
17,126,150,2937
83,110,183,14294
83,226,67,14410
12,167,3,2194
70,123,14,12085
80,110,75,13742
17,231,45,3042
49,186,29,8260
6,102,86,1043
64,194,89,10818
59,110,121,9937
58,97,50,9806
73,195,18,12628
79,162,37,13624
93,76,79,16234
80,77,108,13709
19,66,92,3290
56,86,189,9441
53,95,100,8892
54,52,205,9015
82,41,173,14040
11,64,176,1880
25,193,37,4347
44,93,99,7261
91,48,87,15788
10,152,70,1775
88,139,74,15382
76,95,115,13049
95,173,110,16686
83,199,94,14383
92,80,261,15926
7,75,184,1175
59,92,139,9919
53,49,146,8846
41,174,42,6810
33,130,70,5584
58,42,105,9751
62,142,38,10470
59,94,137,9921
66,80,122,11082
30,127,67,5049
69,318,44,11947
89,194,23,15621
97,129,73,17203
77,42,112,13177
25,197,33,4351
2,66,221,199
69,87,275,11716
3,163,16,554
69,278,84,11907
73,95,118,12528
2,212,75,345
81,228,12,14016
9,151,50,1602
63,70,104,10549
74,70,96,12687
30,51,143,4973
13,68,95,2236
66,89,113,11091
23,37,131,3934
52,114,99,8727
10,124,98,1747
15,203,4,2656
84,229,38,14677
12,127,43,2154
52,59,154,8672
68,40,159,11499
75,178,51,12932
68,171,28,11630
21,134,61,3692
81,236,4,14024
5,130,139,831
98,132,24,17379
37,46,124,6118
65,142,11,11020
43,135,72,7125
41,70,146,6706
14,151,29,2453
2,85,202,218
96,97,239,16864
50,67,131,8327
2,227,60,360
46,36,220,7496
82,36,178,14035
31,62,172,5149
79,61,138,13523
32,172,19,5464
89,133,84,15560
96,89,247,16856
80,92,93,13724
43,103,104,7093
47,83,131,7770
61,145,40,10317
64,187,96,10811
37,65,105,6137
64,97,186,10721
94,213,45,16497
31,138,96,5225
70,56,81,12018
81,197,43,13985
86,244,34,15089
74,100,66,12717
48,128,103,8000
22,102,100,3826
7,190,69,1290
17,166,110,2977
17,191,85,3002
73,45,168,12478
